session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,thumbstick_angle,thumbstick_time_sec,action_count,action_angles,action_durations,first_action_onset,last_action_offset,action_time_intervals,vr_setup
2,43,0xFB,-1,18.06592,Mismatch,Mismatch,ffuulllbb,0,"{'1': 47.84840650985955, '2': 47.84840650985955}","[0.0, 0.0, 0.3, 0.76, 1.56, 2.39, 3.24, 4.26, 5.9, 8.16, 10.43, 13.36, 16.28, 19.23, 22.18, 25.79, 30.74, 35.68, 40.62, 45.56, 50.5, 55.44, 60.37, 65.31, 70.25, 75.19, 80.13, 85.07, 90.01, 94.96, 99.96, 102.04, 104.13]","[15.58044, 15.59436, 15.60815, 15.62207, 15.63574, 15.6499, 15.66528, 15.67773, 15.69128, 15.70544, 15.71936, 15.73254, 15.74695, 15.76099, 15.77429, 15.7887, 15.80249, 15.81616, 15.83044, 15.84412, 15.85779, 15.87195, 15.88574, 15.8999, 15.91345, 15.92773, 15.94141, 15.95508, 15.96948, 15.98328, 15.99683, 16.01099, 16.02576]",1.0,{'1': 103.19224484395258},{'1': 0.41999999999999993},15.6,16.02,"{'1': {'start': 15.6, 'end': 16.02}}",Action
2,44,0xFB,-1,2.676392,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 303.2958236702114, '2': 123.29582367021138}",[],[],0.0,{},{},0.0,2.676392,{},Action
2,45,0xFB,-1,9.023438,Mismatch,Mismatch,bdddllbbb,60,"{'1': 162.30384336327114, '2': 222.30384336327114}",[],[],0.0,{},{},0.0,9.023438,{},Action
2,46,0xFB,-1,8.476807,Mismatch,Mismatch,ddbbddddl,60,"{'1': 20.532961757513526, '2': 80.53296175751353}",[],[],0.0,{},{},0.0,8.476807,{},Action
2,47,0xFB,-1,11.22144,Mismatch,Mismatch,bbddbblll,0,"{'1': 117.10174008489184, '2': 117.10174008489184}","[0.0, 0.46, 3.31, 7.58, 11.86, 16.15, 20.46, 24.81, 29.22, 33.65, 38.12, 42.6, 47.09, 51.62, 56.2, 60.87, 65.66, 70.56, 75.48, 80.4, 85.33, 90.26, 95.19, 100.12, 105.05, 109.98, 114.91, 119.84, 124.76, 129.69, 134.62, 139.55, 144.48, 149.41, 154.34, 159.27, 164.2, 169.2]","[9.610352, 9.625244, 9.63916, 9.652588, 9.666016, 9.680176, 9.694092, 9.70752, 9.721924, 9.73584, 9.749268, 9.763428, 9.777344, 9.791992, 9.804688, 9.818848, 9.833008, 9.846436, 9.860596, 9.874512, 9.887939, 9.902344, 9.91626, 9.929688, 9.943848, 9.957764, 9.971924, 9.985352, 9.999512, 10.01343, 10.02686, 10.04126, 10.05518, 10.0686, 10.08276, 10.09692, 10.1106, 10.12451]",1.0,{'1': 167.57886412652786},{'1': 0.5200000000000014},9.6,10.12,"{'1': {'start': 9.6, 'end': 10.120000000000001}}",Action
2,48,0xFB,-1,2.238647,Mismatch,Mismatch,ddbbddddl,180,"{'1': 21.67230921467345, '2': 201.67230921467345}",[],[],0.0,{},{},0.0,2.238647,{},Action
2,49,0xFB,-1,4.738281,Mismatch,Mismatch,ffffuulff,180,"{'1': 333.8587752913037, '2': 153.8587752913037}",[],[],0.0,{},{},0.0,4.738281,{},Action
3,0,0xFB,1,2.359619,Match,Match,bdddbllll,0,"{'1': 52.91861761483567, '2': 52.91861761483567}",[],[],0.0,{},{},0.0,2.359619,{},Action
3,1,0xFB,1,4.830811,Match,Match,lllbbbubb,120,"{'1': 17.648447864990295, '2': 137.6484478649903}",[],[],0.0,{},{},0.0,4.830811,{},Action
3,2,0xFB,1,3.131348,Match,Match,bdddllbbb,0,"{'1': 323.68654722111233, '2': 323.68654722111233}",[],[],0.0,{},{},0.0,3.131348,{},Action
3,3,0xFB,1,2.234863,Match,Match,rbbbdddff,0,"{'1': 209.7655225309319, '2': 209.7655225309319}",[],[],0.0,{},{},0.0,2.234863,{},Action
3,4,0xFB,1,7.793945,Match,Match,rrrrbbbdr,180,"{'1': 304.09194055990326, '2': 124.09194055990326}",[],[],0.0,{},{},0.0,7.793945,{},Action
3,5,0xFB,1,7.262695,Match,Match,ddbbddddl,60,"{'1': 51.39973507264532, '2': 351.39973507264534}",[],[],0.0,{},{},0.0,7.262695,{},Action
3,6,0xFB,1,1.674072,Match,Match,rrrrbbbdr,0,"{'1': 128.50402536639388, '2': 128.50402536639388}",[],[],0.0,{},{},0.0,1.674072,{},Action
3,7,0xFB,1,7.379639,Match,Match,ffuulllbb,0,"{'1': 151.05211282187008, '2': 151.05211282187008}",[],[],0.0,{},{},0.0,7.379639,{},Action
3,8,0xFB,1,1.596436,Match,Match,rbbbbbbub,0,"{'1': 67.47656459594786, '2': 67.47656459594786}",[],[],0.0,{},{},0.0,1.596436,{},Action
3,9,0xFB,1,4.951416,Match,Match,lllbbbluu,180,"{'1': 223.27059667450027, '2': 43.27059667450027}",[],[],0.0,{},{},0.0,4.951416,{},Action
3,10,0xFB,1,1.512939,Match,Match,rrrrbbbdr,0,"{'1': 119.39171623680613, '2': 119.39171623680613}",[],[],0.0,{},{},0.0,1.512939,{},Action
3,11,0xFB,1,4.434082,Match,Match,llbbbbbru,180,"{'1': 320.5405542825008, '2': 140.5405542825008}",[],[],0.0,{},{},0.0,4.434082,{},Action
3,12,0xFB,1,3.973389,Match,Match,bbbdddrrb,0,"{'1': 339.6540141721071, '2': 339.6540141721071}",[],[],0.0,{},{},0.0,3.973389,{},Action
3,13,0xFB,1,11.83447,Match,Match,ffuulllbb,60,"{'1': 238.25576979704107, '2': 298.25576979704107}","[0.0, 0.0, 0.96, 4.39, 9.03, 13.63, 18.23, 22.82, 27.42, 32.01, 36.6, 41.19, 45.78, 50.37, 54.96, 59.55, 64.15, 68.74, 73.33, 77.93, 82.52, 87.11, 91.71, 96.3, 100.89, 105.48, 110.07, 114.66, 119.25, 123.84, 128.43, 133.02, 137.61, 142.2, 146.79, 151.38, 155.97, 160.56, 165.2, 169.88, 174.6, 179.39, 184.24, 189.17, 189.17, 189.61, 190.99, 193.12, 197.5, 202.07, 206.64, 211.2, 215.77, 220.33, 224.91, 229.5, 234.1, 238.73, 243.37, 248.02, 252.69, 257.41, 262.17, 266.97, 269.92, 270.18, 270.18, 270.71, 272.73, 276.09, 280.86, 285.62, 290.38, 295.14, 299.9, 304.67, 309.46, 314.28, 319.12, 324.03, 328.95, 333.91, 338.54]","[7.487305, 7.501465, 7.515625, 7.529297, 7.542725, 7.560059, 7.571045, 7.584229, 7.598389, 7.612549, 7.626221, 7.639893, 7.654053, 7.667969, 7.681641, 7.695801, 7.709717, 7.723145, 7.737305, 7.751221, 7.764893, 7.779053, 7.792969, 7.806885, 7.820557, 7.834717, 7.848877, 7.862305, 7.876465, 7.890381, 7.903809, 7.917969, 7.932129, 7.945557, 7.959717, 7.973633, 7.987305, 8.000977, 8.015137, 8.029053, 8.04248, 8.056885, 8.070801, 9.015137, 9.029053, 9.042725, 9.056885, 9.070801, 9.084229, 9.099121, 9.112549, 9.126221, 9.139893, 9.154053, 9.167725, 9.181396, 9.195557, 9.209717, 9.223145, 9.237305, 9.251221, 9.264648, 9.279053, 9.292969, 9.306641, 10.01514, 10.02905, 10.04272, 10.05688, 10.0708, 10.08423, 10.09839, 10.1123, 10.12646, 10.13989, 10.1543, 10.16846, 10.1814, 10.1958, 10.20972, 10.2229, 10.23755, 10.25146]",3.0,"{'1': 175.71197570568103, '2': -80.7512326622903, '3': -67.87403306973405}","{'1': 0.5899999999999999, '2': 0.2900000000000009, '3': 0.23000000000000043}",7.49,10.25,"{'1': {'start': 7.49, 'end': 8.08}, '2': {'start': 9.02, 'end': 9.31}, '3': {'start': 10.02, 'end': 10.25}}",Action
