session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,vr_setup
7,37,0xBA,1,1.555054,Mismatch,Mismatch,ffffuulff,180,"{'1': 112.1103209577726, '2': 292.1103209577726}",No-Action
7,38,0xBA,1,4.820923,Mismatch,Mismatch,ddbbddddl,120,"{'1': 116.64804906440489, '2': 236.6480490644049}",No-Action
7,39,0xBA,1,3.750488,Mismatch,Mismatch,rrrrbbbdr,120,"{'1': 325.1474160676428, '2': 205.14741606764278}",No-Action
7,40,0xBA,1,4.029663,Mismatch,Mismatch,lllbbbubb,120,"{'1': 44.909780615892714, '2': 164.9097806158927}",No-Action
7,41,0xBA,1,6.177246,Mismatch,Mismatch,lllbbbluu,180,"{'1': 204.88606613223055, '2': 24.886066132230553}",No-Action
7,42,0xBA,1,2.402466,Mismatch,Mismatch,uuubbrrrf,0,"{'1': 65.34944784418846, '2': 65.34944784418846}",No-Action
7,43,0xBA,1,1.522339,Mismatch,Mismatch,rbbbdddff,120,"{'1': 226.29585152890144, '2': 346.29585152890144}",No-Action
7,44,0xBA,1,3.480225,Mismatch,Mismatch,uuuuubbul,60,"{'1': 295.1931645100793, '2': 235.19316451007936}",No-Action
7,45,0xBA,1,4.016235,Mismatch,Mismatch,uuuuubbul,0,"{'1': 223.99012792039952, '2': 223.99012792039952}",No-Action
7,46,0xBA,1,3.795654,Mismatch,Mismatch,llbbbrruu,0,"{'1': 312.87503941977366, '2': 312.87503941977366}",No-Action
7,47,0xBA,1,4.837524,Mismatch,Mismatch,lllbbbubb,180,"{'1': 49.8443240651041, '2': 229.8443240651041}",No-Action
7,48,0xBA,1,3.506714,Mismatch,Mismatch,rbbbbbbub,0,"{'1': 210.27064945180683, '2': 210.27064945180683}",No-Action
7,49,0xBA,1,1.734375,Mismatch,Mismatch,ddbbddddl,180,"{'1': 226.14754278696023, '2': 46.14754278696023}",No-Action
8,0,0x87,2,13.31897,Match,Match,uubbbrrrb,180,"{'1': 160.83256037875475, '2': 340.83256037875475}",No-Action
8,1,0x87,2,2.595459,Match,Match,bbbdddrrb,60,"{'1': 297.0526715508145, '2': 237.05267155081452}",No-Action
8,2,0x87,2,4.140869,Match,Match,lllbbbubb,180,"{'1': 73.56548998781912, '2': 253.56548998781912}",No-Action
8,3,0x87,2,2.956299,Match,Match,ffuuuurrf,0,"{'1': 23.282554720997183, '2': 23.282554720997183}",No-Action
